Text,Category
"حفرة كبيرة في الطريق تسبب حوادث",Voirie
"فمة حفرة برشا كبيرة في شارع الحبيب بورقيبة",Voirie
"الرصيف محطم قدام الدار وخطير على الولاد",Voirie
"الطريق مقطوع بسبب أشغال وما رجعوش",Voirie
"إشارة المرور معطلة منذ أسبوعين",Voirie
"لا يوجد ممر للمشاة أمام المدرسة الابتدائية",Voirie
"تشققات خطيرة في الطريق الرئيسي",Voirie
"انهيار جزء من الرصيف بعد الأمطار",Voirie
"حفرة في شارع الجمهورية تجعل السيارات تتلف",Voirie
"الطريق مليان حفر صغيرة وكبيرة",Voirie
"رصيف مكسور أمام المستشفى",Voirie
"الشارع الفرعي في حي المنار فيه حفر",Voirie
"علامات المرور محروقة وغير واضحة",Voirie
"الطريق الدائري فيه تشققات كبيرة",Voirie
"القمامة لم تُجمع منذ 5 أيام والروائح منتشرة",Environnement
"رمي نفايات عشوائي بجانب الحاوية",Environnement
"روائح كريهة جداً من المكب القريب",Environnement
"تراكم الأوساخ أمام المدرسة منذ أسبوع",Environnement
"حيوانات ضالة تنبش القمامة في الحي",Environnement
"عشب متراكم ومتسخ في الحديقة العمومية",Environnement
"القمامة متراكمة في شارع الطيب المهيري",Environnement
"فمة ريحة بشعة من تصريف المياه",Environnement
"كلاب ضالة كثيرة في الحي وتخوف الأطفال",Environnement
"النفايات منتشرة في الشارع بعد جمع القمامة",Environnement
"حاويات القمامة مكسورة ومليانة",Environnement
"رمي مخلفات البناء في الفضاء العام",Environnement
"مصباح الشارع محروق منذ 10 أيام",Eclairage
"الحي كله مظلم في الليل",Eclairage
"عمود إنارة مكسور وخطير على المارة",Eclairage
"نصف أعمدة الإنارة في الشارع لا تعمل",Eclairage
"الإنارة معطلة في شارع الاستقلال",Eclairage
"مصباح يومض ويطفأ بشكل عشوائي",Eclairage
"لا توجد إنارة في الزقاق الفرعي",Eclairage
"عمود كهرباء مائل ومهدد بالسقوط",Eclairage
"انقطاع الماء منذ يومين في الحي كامل",Eau
"تسرب في شبكة الصرف الصحي أمام المنزل",Eau
"فيضان مياه الأمطار في الشارع الرئيسي",Eau
"أنبوب مياه مكسور والمياه تتدفق",Eau
"ضغط الماء ضعيف جداً في الطابق الثالث",Eau
"مياه الصرف الصحي تخرج في الشارع",Eau
"انقطاع الماء لمدة 4 أيام متتالية",Eau
"رائحة الصرف الصحي قوية في الحي",Eau
"تسرب مياه من الأنبوب الرئيسي",Eau
"جارنا يبني طابق إضافي بدون رخصة",Urbanisme
"محل تجاري يتجاوز الحدود ويضيق الشارع",Urbanisme
"بناء مخالف يسد المنفذ الوحيد للحي",Urbanisme
"شخص يبني سور بدون ترخيص",Urbanisme
"توسعة منزل مخالفة للقانون",Urbanisme
"بناء في منطقة خضراء محظورة",Urbanisme
"شكوى عامة لا تنتمي لأي فئة",Autre
"طلب مساعدة في إزالة لوحة إعلانات قديمة",Autre
"سيارة مهجورة في الشارع منذ شهر",Autre
"ضجيج موسيقى عالية في منتصف الليل",Autre
"طلب تنظيم حملة توعية بيئية",Autre
